OBJECTID,GEOID10,NAME10,N_VERYHIGH,YEAR,HSI_SCORE,HEI_SCORE,HVI_SCORE,Shape__Area,Shape__Length
282,42101027902,279.02,0,2023,-0.52604206,-1.36006786,-0.56705797,1517060.2734375,5659.70301161396
283,42101008101,81.01,1,2023,6.42926026,1.02034713,4.57457417,415214.1171875,2830.62273781765
284,42101007102,71.02,1,2023,6.89504031,0.83789355,4.77106429,708100.4765625,3431.93594453045
285,42101008802,88.02,0,2023,0.34476199,-4.779247,0.40552242,671388.234375,3891.89630000101
286,42101008702,87.02,0,2023,-6.45865976,-3.70110298,-4.15147855,483125.76953125,3224.621315884
287,42101008701,87.01,0,2023,-7.10214075,-2.60068223,-4.63154884,442189.40625,3323.98013568838
288,42101008102,81.02,1,2023,7.66404911,0.89388396,5.67833423,617581.46875,3182.70477630921
289,42101008602,86.02,0,2023,3.05050045,-0.81322428,2.40395342,629041.4296875,3458.89243488676
290,42101037500,375,0,2023,-3.36676338,-1.69480065,-2.74632908,1746518.87109375,7810.52634984585
291,42101000801,8.01,0,2023,-9.82990268,-4.21202411,-6.49776845,195652.5546875,1876.82521325263
292,42101001101,11.01,0,2023,-7.36243613,-3.01530117,-4.92075212,296381.08203125,2191.76409566316
293,42101027402,274.02,0,2023,2.88940039,0.42581362,2.37208838,873359.2109375,4877.74658061917
294,42101008601,86.01,0,2023,-4.23053296,-2.76764591,-2.70721027,430148.1640625,3236.99844307604
295,42101036502,365.02,0,2023,-8.86551348,-0.53329857,-6.4652541,2903832.37109375,9196.56570670577
296,42101036700,367,0,2023,-8.85752264,-4.17754242,-5.60115907,1365371.1015625,4905.45339775626
297,42101037600,376,0,2023,-1.70753582,-2.09725277,-0.80294335,1222412.40625,4704.67804305323
298,42101038600,386,0,2023,-7.64806685,-1.10899113,-6.17628087,5731720.46484375,15895.5719017737
299,42101038500,385,0,2023,-7.72181119,-1.11748335,-6.10957956,2327443.359375,9604.54391871473
300,42101038700,387,0,2023,-7.04220032,-0.80341072,-5.65236441,3551082.95703125,9532.7648784079
301,42101038800,388,0,2023,-5.708013,-1.16144462,-4.62366484,2385714.140625,7154.06783038677
302,42101038900,389,0,2023,4.58530435,0.77122787,2.66974708,2188191.484375,6279.72648736557
303,42101980000,9800,0,2023,-10.7981167,-3.88186471,-7.906208,17807735.7148438,27694.5816370217
304,42101026900,269,0,2023,2.04065352,1.05189435,1.09468156,1058542.30859375,4291.99953203626
305,42101027000,270,0,2023,1.86655006,-0.94431984,1.08439635,1097240.67578125,4220.57302355125
306,42101027100,271,0,2023,4.07335333,1.90537821,2.89754164,707616.578125,3808.96837599547
307,42101027200,272,0,2023,1.55019072,-0.9173615,1.05183544,1161026.703125,4781.15851826793
308,42101027300,273,0,2023,1.21101709,-0.04686752,1.14237481,1623000.12109375,5778.83663979671
