declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
19079,6,AR,Arkansas                      ,0,2019-09-12T00:00:00.000Z,Major Disaster,LA Tropical Storm Barry,Coastal Storm,2019-07-09T00:00:00.000Z,2019-07-15T00:00:00.000Z,Turndown,2019-10-04T00:00:00.000Z,0,0,1,1,2019070902,2019-07-09T00:00:00.000Z,c581297f-7040-4c64-bede-ff769453d76c
19082,8,SD,South Dakota                  ,0,2019-09-10T00:00:00.000Z,Major Disaster,SD - severe storms August 2-11 2019,Severe Storm,2019-08-02T00:00:00.000Z,2019-08-11T00:00:00.000Z,Turndown,2019-11-22T00:00:00.000Z,0,0,1,1,2019092401,2019-08-02T00:00:00.000Z,8710785e-099f-409d-8c6e-b1d1165d9d18
19089,7,NE,Nebraska                      ,0,2019-10-21T00:00:00.000Z,Major Disaster,NE Flooding - 07/15/2019,Flood,2019-07-15T00:00:00.000Z,,Turndown,2020-01-07T00:00:00.000Z,1,0,1,1,2019100301,2019-07-15T00:00:00.000Z,aeab4025-ad0e-4a79-b425-f4ef6a9c8fed
19104,10,AK,Alaska                        ,0,2019-11-25T00:00:00.000Z,Major Disaster,AK-Swan Lake Fire-20190605,Fire,2019-06-05T00:00:00.000Z,2019-10-02T00:00:00.000Z,Turndown,2020-01-27T00:00:00.000Z,0,0,1,1,2019110702,2019-06-05T00:00:00.000Z,5bbd3759-88a6-4d85-a274-1f8e064e9f6e
20004,6,TX,Texas                         ,0,2020-01-14T00:00:00.000Z,Major Disaster,TX - Tornados 10/20/2019,Tornado,2019-10-20T00:00:00.000Z,2019-10-21T00:00:00.000Z,Turndown,2020-06-10T00:00:00.000Z,0,0,1,1,2019102303,2019-10-20T00:00:00.000Z,70618ab4-8635-4607-83ea-00fd945d7f17
20005,6,AR,Arkansas                      ,0,2019-12-03T00:00:00.000Z,Major Disaster,"AR - Severe Storms, Tornado 10/21/2019",Tornado,2019-10-21T00:00:00.000Z,2019-10-21T00:00:00.000Z,Turndown,2020-04-24T00:00:00.000Z,0,0,1,1,2019102801,2019-10-21T00:00:00.000Z,7f128c69-5b0a-43d2-91aa-19287c67544e
20006,10,AK,Alaska                        ,0,2020-02-06T00:00:00.000Z,Major Disaster,Kenai Peninsula Borough Winter Storms,Severe Storm,2019-11-27T00:00:00.000Z,2019-12-10T00:00:00.000Z,Turndown,2020-03-05T00:00:00.000Z,0,0,1,1,2020012701,2019-11-27T00:00:00.000Z,529e0830-daf7-425e-bc80-b10d76c70602
20146,10,AK,Alaska                        ,0,2020-04-06T00:00:00.000Z,Major Disaster,Kaktovik_School_Fire,Fire,2020-02-06T00:00:00.000Z,2020-02-07T00:00:00.000Z,Turndown,2020-06-19T00:00:00.000Z,0,0,1,0,2020032301,2020-03-23T00:00:00.000Z,4572c23d-9b64-4d06-8dfe-776d0be6ae05
20169,4,GA,Georgia                       ,0,2020-04-22T00:00:00.000Z,Major Disaster,SEVERE THUNDERSTORMS ,Severe Storm,2020-04-12T00:00:00.000Z,2020-04-13T00:00:00.000Z,Turndown,2020-04-30T00:00:00.000Z,1,0,0,1,2020041101,2020-04-11T00:00:00.000Z,f240e9d3-27a0-4485-8db5-76500c2b01b8
20173,6,LA,Louisiana                     ,0,2020-04-25T00:00:00.000Z,Major Disaster,Louisiana - Tornado 4/12/2020,Tornado,2020-04-12T00:00:00.000Z,2020-04-12T00:00:00.000Z,Turndown,2020-04-30T00:00:00.000Z,1,0,0,1,2020041301,2020-04-12T00:00:00.000Z,faacbf45-fa54-423c-966d-48206eafa22d
